section,metric,value,unit,sample_n,source,status,definition
replay,human_total,784,points,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,"45 candidate-available non-chip transfers; inclusive actual incoming holding window [T, hold_end]"
replay,human_mean,17.42222222222222,points per transfer window,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,"45 candidate-available non-chip transfers; inclusive actual incoming holding window [T, hold_end]"
replay,simple_rule_total,587,points,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,"45 candidate-available non-chip transfers; inclusive actual incoming holding window [T, hold_end]"
replay,simple_rule_mean,13.044444444444444,points per transfer window,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,"45 candidate-available non-chip transfers; inclusive actual incoming holding window [T, hold_end]"
replay,do_nothing_total,534,points,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,"45 candidate-available non-chip transfers; inclusive actual incoming holding window [T, hold_end]; outgoing player's points over the same window"
replay,do_nothing_mean,11.866666666666667,points per transfer window,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,"45 candidate-available non-chip transfers; inclusive actual incoming holding window [T, hold_end]; outgoing player's points over the same window"
replay,human_minus_rule,197,points,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,human total minus simple-rule total on the replay metric
replay,rule_minus_nothing,53,points,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,simple-rule total minus outgoing-player hold total on the replay metric
replay,human_minus_nothing,250,points,45,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,human total minus outgoing-player hold total on the replay metric
replay,actual_buys_outside_rule_pool,11,transfers,46,independently reconstructed from raw transfers + timeline + squad + player_gw_features.csv,recomputed,actual incoming player failed at least one locked candidate filter
form_collapse,all_players_spearman,0.7899097211483604,Spearman rho,23911,recomputed from data/processed/player_gw_features.csv,recomputed,"Spearman(recent 4-GW points, realized next-4-GW points), decision GWs 4..34"
form_collapse,minutes_screened_spearman,0.20296699957033887,Spearman rho,6786,recomputed from data/processed/player_gw_features.csv,recomputed,"Spearman(recent 4-GW points, realized next-4-GW points), decision GWs 4..34; require recent 4-GW minutes >= 180"
form_collapse,all_players_bin_means,"[0.461008, 0.576328, 2.153074, 8.025094, 11.930155]",next-4-GW points,23911,recomputed from data/processed/player_gw_features.csv,recomputed,"five equal-count recent-points groups, stable first-rank ties"
form_collapse,minutes_screened_bin_means,"[9.209131, 10.419307, 11.288873, 12.099484, 13.542373]",next-4-GW points,6786,recomputed from data/processed/player_gw_features.csv,recomputed,same five-bin method after recent 4-GW minutes >= 180
notebook_simulation,hold_total,1481,points per simulated season,40,notebooks/fpl_decision_story.ipynb constants from src/fpl_retro/v1_engine.py; independently rerun during reconciliation,reported and rerun matched,mean GW8..34 full-strategy season total across 40 sampled starting squads
notebook_simulation,engine_total,1680,points per simulated season,40,notebooks/fpl_decision_story.ipynb constants from src/fpl_retro/v1_engine.py; independently rerun during reconciliation,reported and rerun matched,mean GW8..34 full-strategy season total across 40 sampled starting squads
notebook_simulation,simple_rule_total,1839,points per simulated season,40,notebooks/fpl_decision_story.ipynb constants from src/fpl_retro/v1_engine.py; independently rerun during reconciliation,reported and rerun matched,mean GW8..34 full-strategy season total across 40 sampled starting squads
notebook_simulation,engine_minus_hold,199,points per simulated season,40,notebooks/fpl_decision_story.ipynb constants from src/fpl_retro/v1_engine.py; independently rerun during reconciliation,reported and rerun matched,paired mean difference; 95% empirical range +31 to +406
notebook_simulation,engine_minus_simple_rule,-159,points per simulated season,40,notebooks/fpl_decision_story.ipynb constants from src/fpl_retro/v1_engine.py; independently rerun during reconciliation,reported and rerun matched,paired mean difference; 95% empirical range -271 to -62
notebook_simulation,transfer_engine_minus_simple,-33,points per simulated season,40,notebooks/fpl_decision_story.ipynb constants from src/fpl_retro/v1_engine.py; independently rerun during reconciliation,reported and rerun matched,"transfer layer only; 95% empirical range -155 to +53, classified as tie"
notebook_simulation,selection_engine_minus_simple,-28,points per simulated season,40,notebooks/fpl_decision_story.ipynb constants from src/fpl_retro/v1_engine.py; independently rerun during reconciliation,reported and rerun matched,selection layer only; 95% empirical range -56 to -5
notebook_simulation,captaincy_engine_minus_simple,-23,captain points per simulated season,40,notebooks/fpl_decision_story.ipynb constants from src/fpl_retro/v1_engine.py; independently rerun during reconciliation,reported and rerun matched,captaincy layer only; 95% empirical range -49 to -1
convergence,replay_form_to_goals_spearman,0.19,Spearman rho,prior study,analysis/transfer_rule_replay_bank/transfer_rule_bank_story.md,reported prior finding,trailing form versus next-4-GW goals; a different target from notebook next-4-GW points
convergence,currency_guard,do not compare 159 with 197,text,two experiments,v1_engine.py + independent locked replay rebuild,verified,159 is a paired mean full-strategy simulated-season gap across 40 starts; 197 is a summed incoming-player holding-window gap across 45 replay rows
model_replay_placement,status,not scored,text,not applicable,src/fpl_retro/v0_1_engine.py and v1_engine.py,skipped,published prediction window cannot provide a clean pre-deadline model score for every one of the 46 replay transfers; model stays qualitative on the hierarchy
